target,feature1,feature2,feature3,feature4
4,-108.9874643,352.1415843,189.303318,17
0,450.532348,357.0507433,-67.85849633,15
4,375.6790891,337.5758917,-35.14394118,13
4,558.174572,410.2805592,-103.2836984,19
1,-248.1724145,384.884572,294.3726365,14
4,-188.9332902,399.3643525,278.6228912,15
0,219.8998179,314.9517051,12.68855865,19
4,373.0543625,366.6846614,-37.36324934,11
1,386.0196147,407.6212156,-28.36574192,15
5,-470.0526552,251.8152835,350.2887234,18
1,-422.1119335,498.9378808,425.5623154,11
4,84.02683239,384.7731909,107.181708,10
3,298.0055051,281.9523067,-25.92772882,14
4,-240.7771503,314.4911695,257.0149067,15
0,127.310508,231.4282938,19.86809555,12
0,-399.0520322,326.5844431,321.2305697,14
0,-238.137291,311.2095802,263.3454299,15
3,97.89397628,254.2159187,28.56730264,16
1,154.5253621,364.7371804,80.95705704,15
5,-44.73887267,302.0645147,143.2500187,12
5,-38.59753785,204.9706329,103.4537841,15
0,494.683186,213.6349124,-177.6220526,12
0,-533.2182618,282.3095821,367.1070331,14
4,932.1734125,382.5647343,-288.7516147,19
1,132.8560294,391.1588217,77.43926444,11
0,-44.9755801,373.3436174,175.3155888,10
4,530.5688207,252.6540119,-163.7116486,14
1,647.7863914,421.98517,-122.6375169,18
4,209.5798097,342.4144256,26.0603565,10
0,30.8388594,443.8815482,181.4971279,16
4,453.2312172,273.9475698,-100.0313953,11
5,47.93532484,288.557066,93.05897036,10
3,-294.9073267,232.7557567,235.1093031,14
4,356.0039798,299.6901538,-50.62101933,18
5,40.07745917,357.7030413,123.1634358,13
4,291.519192,301.6591045,-17.80179172,11
4,-20.80326787,296.8837613,118.2936065,13
3,-839.7679639,340.8649731,582.3837782,15
5,-483.5707569,317.9775679,367.5135955,15
0,-577.1783489,393.2330895,457.550997,14
3,501.1758731,337.4515598,-125.6123999,13
4,410.615289,293.2860403,-77.36103397,18
5,478.8776258,358.5647549,-101.6989917,15
1,-359.5808497,228.6176254,247.7773172,10
3,341.8933103,303.0413549,-66.47419561,10
1,406.560736,300.1830837,-68.41127352,19
4,-270.3360565,330.6414162,277.3667457,14
4,-172.9727938,224.1922014,172.3069238,17
3,545.6762749,421.7935688,-76.62860219,14
3,166.8505794,323.9373585,49.1634749,16
5,697.4956672,347.4768696,-189.4103239,16
4,107.2645039,410.147202,124.479332,12
1,270.309407,423.652148,57.12398048,16
5,158.8687349,526.8093608,157.4923456,17
4,83.12972596,387.1699684,141.59522,17
4,-61.81235246,362.9749145,184.0411611,11
0,-873.7180472,322.5579099,561.5170694,17
4,-226.1938901,269.9681356,218.5649769,12
1,65.09803101,322.6738015,98.86916713,14
4,962.3495007,408.2878546,-308.9736566,16
1,196.2020519,251.3363201,-3.716034469,18
5,-58.8116679,286.780555,145.1353167,16
5,198.971267,315.5320742,33.1784116,19
5,26.16977361,383.3956703,146.2640726,16
1,-42.47865081,355.0644877,179.4690363,14
0,-368.6153805,294.1474828,314.3212202,19
5,1.693263864,282.3432818,113.00241,17
5,21.88675454,427.8832554,169.5754226,11
5,-525.9941995,397.9474204,424.7954797,15
4,434.0149962,402.2485092,-33.73627973,17
5,-291.9012206,380.6587406,309.4679627,11
4,450.3769371,302.2695993,-99.77955503,15
3,628.2714769,347.856157,-162.9049101,11
0,-165.6685912,326.53547,236.944063,18
5,210.6739624,318.1738352,19.17181457,14
4,-49.33335676,302.6903183,148.2966673,17
1,-399.6716353,232.4946917,271.8196591,10
4,15.11820475,191.6900051,54.36720647,10
1,-109.1726943,203.6421215,131.2866866,12
4,-280.6335494,224.5528719,231.270814,19
4,11.03424062,479.8952391,220.0336997,19
0,391.3502024,291.4437687,-85.31747506,15
0,-289.7082651,280.4432695,239.2455399,11
4,39.94258969,378.7813532,153.8581964,19
4,444.5425156,417.049635,-39.39915759,16
0,-301.5055533,380.6722341,321.7970859,16
1,547.6126659,375.1048133,-111.6160918,16
4,936.3324209,333.1964688,-324.3335307,13
4,-212.7195265,213.2367931,171.8151876,15
3,-383.7389484,301.9538891,305.4685099,18
3,77.04493688,390.3390316,142.4238887,17
5,1033.421903,299.1851286,-390.4047571,15
3,-474.4206747,427.3459345,423.452929,14
1,71.77140611,285.1445845,89.897308,16
3,-327.0922873,291.6900278,301.4835907,19
3,-270.4411224,404.534161,310.0427728,12
0,-493.5175866,262.0596502,344.0429234,10
5,381.5350322,387.8620639,-19.73605685,17
5,518.7060349,267.2206519,-170.1899865,11
0,1306.854986,287.999022,-537.7783783,13
3,484.6490779,395.5626019,-90.56410985,15
3,228.5926468,319.8239908,22.91499987,13
3,448.4012652,304.7978493,-87.49170767,16
5,-129.9111905,268.4418341,160.0980822,13
4,112.9026559,359.6292716,96.57940659,11
0,637.3946141,325.5909887,-168.4717024,16
3,-6.78027933,388.0157184,163.4499092,16
5,444.7749665,372.8175364,-53.41225003,14
4,441.6657951,261.1529823,-117.7648689,16
0,67.39609021,316.0514161,84.13506787,13
3,-217.6597273,245.7156154,208.63132,19
1,322.1801054,267.2462758,-71.58567057,11
3,549.1256289,310.6688324,-171.3568891,15
4,538.0032193,285.4691251,-151.0897823,10
1,-350.0613743,278.0709873,276.371438,11
5,419.7374147,386.139916,-51.47524877,13
0,-89.40271806,370.0809378,205.9364405,19
1,-323.5362889,397.5661732,352.899231,17
1,-479.7729716,208.303249,328.8597473,14
4,-36.63737211,427.3041907,221.5832926,19
0,1105.947885,309.6870631,-437.8589874,10
3,-193.679908,422.4376038,287.114447,12
5,-62.37292625,297.4346225,157.5035791,15
4,331.3504388,417.2371022,33.00270031,17
0,89.96890259,254.5507102,63.85912698,17
1,94.49773475,188.8097989,19.57641667,12
5,-262.9897325,184.5995479,198.2209905,14
3,260.0364901,450.9830153,71.67221756,16
1,139.3161597,417.4099401,105.3007154,10
3,499.7800166,328.7211055,-115.59385,19
5,-181.3024403,303.5187606,223.976824,11
5,-43.64805526,230.4585267,108.9652585,15
4,-154.5210199,180.2074702,129.6148944,10
1,-463.3779736,379.2573307,386.9639573,14
1,345.3544603,312.5818403,,13
0,257.918674,287.4031116,-22.77639508,13
5,183.5170463,403.5110799,91.31754404,10
3,546.0347999,380.3906672,-126.8610011,10
4,-435.3668676,286.2862286,355.6278647,15
3,-501.2183176,305.0076421,371.420438,12
1,696.266378,294.7891803,-233.2412179,14
3,894.4521585,286.4552289,-316.8620993,18
1,372.8107038,335.5233433,-53.44858805,18
5,-87.88633197,322.8317462,183.339219,15
5,229.7217206,447.1815394,60.87152605,10
3,-884.5813481,314.1670746,576.2598295,10
5,276.8650161,350.7095635,0.40688719,12
3,382.6962175,328.3361484,-65.60511683,16
5,-33.3330924,416.3343712,177.6738161,11
0,251.3540597,376.5015476,55.84421937,19
3,-78.80060164,396.9493006,198.535165,13
4,36.96843182,353.7863628,128.9017658,12
3,553.6666664,211.9634386,-219.3929297,15
0,233.8202375,320.5052793,9.634898052,17
0,422.8207231,356.4438589,-56.90056518,18
0,113.9982024,271.1069592,65.54908781,18
0,-546.371652,313.0143286,399.0339077,11
4,-85.40047107,196.1468429,108.6355952,12
3,108.1787907,292.2311079,76.9613703,18
0,714.9845689,315.4158493,-224.6651064,17
4,176.7771565,304.0305151,32.02168802,19
0,-523.6163283,254.8871956,337.2632666,12
0,548.151706,461.6061643,-67.90162172,15
4,273.6403496,421.9018038,41.17481662,15
1,387.015238,486.6185282,29.63325142,17
0,-137.1890429,364.7548664,235.9066637,10
3,150.8276149,350.8615025,77.99309369,10
1,-338.5597735,338.5629084,305.6749662,13
3,82.81260144,317.7145126,110.2270615,19
3,-49.55616067,302.7780616,168.7995418,19
0,649.9478803,322.1026546,-190.0437682,11
0,453.1249755,356.6882296,-84.49883476,13
1,449.7223163,240.9377546,-145.3285125,13
1,175.7177985,315.4615829,72.02730873,19
0,-633.6356503,346.1089605,461.2100955,10
5,-225.3547858,281.906794,227.6090483,14
4,-366.2824086,299.7206484,294.2652598,11
1,166.8443835,308.430065,39.21134274,18
4,734.4179431,281.1898048,-259.5100709,15
1,-203.2744947,213.0585457,194.6298088,18
1,25.32089678,228.4556262,80.80934836,14
4,190.5629437,376.5945219,77.64275006,15
0,-333.8395571,395.044452,,10
5,-124.3305239,233.7539218,153.7333513,11
0,253.5530179,426.6052789,61.42251264,17
4,-247.4382433,443.6736034,302.8908206,10
3,-326.9138529,314.7496454,299.5580348,16
0,219.3966044,292.1689569,19.90929034,14
5,-324.8793799,376.5919834,325.232375,19
1,78.01033136,389.2717802,125.788983,11
0,-404.0277428,363.4255102,351.2359957,17
1,-153.6103874,359.5329257,233.9637866,11
0,585.8292695,443.6417715,-90.56154574,18
5,-190.6891239,390.5535551,257.9645275,10
5,-530.1504499,301.3703501,396.819305,16
1,1034.358723,271.774817,-384.5166874,18
5,56.70902119,295.3880301,99.09670262,18
0,354.2070362,266.4860738,-76.40997778,14
5,458.9125793,325.7947508,-95.68307653,10
5,1013.576527,363.1678663,-350.5451906,16
4,583.7732998,343.6776291,-152.8513444,12
5,-697.5817529,314.0805946,475.949119,19
5,-83.40774405,347.5574856,184.8195307,16
4,516.7884735,384.7248198,-85.91903609,17
3,-533.0662404,242.102729,368.6675631,13
3,80.77375745,425.169434,145.8065521,12
0,-158.383534,466.0409321,278.9520484,12
1,486.2050218,260.530519,-129.9204403,14
0,453.2419041,446.2707975,-24.47950416,14
5,292.6716153,396.1639675,36.82924713,15
0,223.0718239,358.855878,32.84893452,19
4,153.0750259,316.7993408,69.53462033,16
1,-89.01950119,338.7196275,191.6531319,18
4,-641.9848577,295.072739,436.1861062,12
0,-40.15562329,405.8953281,210.7021761,18
5,-662.532918,281.4874322,451.9712652,13
1,39.85622301,353.3426777,141.7585515,10
4,-254.2213143,322.6046885,265.5392124,14
0,504.2159263,260.8101954,-138.0949375,17
1,-532.2500172,259.3926734,369.5091382,14
3,-130.4581279,392.6786887,243.2318917,16
4,-136.2523565,454.4806981,271.741993,14
5,193.2566475,304.00027,36.5945371,15
3,-7.711975674,329.0958126,129.0750164,10
0,-400.142162,242.7222118,308.8059731,17
5,377.2141087,318.2140939,-58.56319886,14
1,495.7338945,410.3424478,-70.82392763,16
3,-22.9573287,330.276665,155.7483013,13
3,72.57736492,367.8557982,109.5993555,12
5,-335.2346161,282.4690318,296.1109094,19
4,331.6628406,254.2667919,-63.18760897,19
1,-368.6758419,370.7615096,330.2065291,17
0,108.0950786,319.8133577,80.0500565,16
0,-270.092929,439.1042592,327.7410346,17
3,228.3374162,303.977409,23.69718365,13
1,724.0340357,376.8312748,-204.3389625,11
3,-400.0257847,334.301366,320.9910888,12
1,271.1781886,327.511545,-13.52825797,17
3,-590.8979762,294.9291171,399.8877802,16
4,609.265883,339.3281001,-161.0010026,13
4,43.23982574,323.6708083,106.8817871,18
3,475.7065113,363.7093642,-85.28851088,13
5,510.6494339,260.0418587,-143.951806,13
1,-210.7968754,403.3670015,292.8258287,18
5,443.0249446,416.6935784,-27.5603015,18
1,-79.73325162,366.149908,194.0909624,11
4,-55.74639981,249.3438499,134.6096194,18
4,340.717903,308.3004452,-35.06159284,19
3,437.4494147,296.7368835,-112.7425489,13
4,595.1346001,337.7128463,-156.5360597,16
5,473.2714471,222.9113612,-142.9640356,16
1,258.2516832,405.0288795,52.73018043,16
0,-358.224024,303.7720425,283.953447,11
0,-163.6477473,223.5802229,171.4644011,18
1,942.9286055,383.6167355,-320.5307391,10
4,132.6218038,264.1097966,20.69486408,10
3,561.4138519,372.2956107,-112.6420281,18
5,-524.7545579,344.7532433,371.2801924,11
4,-124.6793297,185.9988446,123.5600787,14
1,106.9157145,387.9298003,118.4458622,15
0,143.2004566,294.5021244,67.08258594,15
0,144.5365831,268.3559705,26.62315358,17
0,-157.4738011,389.7560292,255.8203042,14
0,95.32774849,380.0043622,91.24695974,14
5,-184.7141192,349.3151962,228.0972052,15
1,863.1609191,274.4053101,-324.8367989,14
5,338.450254,358.5873644,-2.849569765,17
4,61.68586204,297.1727795,95.2426136,16
1,260.6737023,330.4676763,22.45603032,14
1,-339.3363001,352.8234899,324.9768453,16
4,-131.003239,321.6820595,193.0765076,12
3,308.3808846,338.607757,-18.84833182,17
0,331.2476761,304.4872955,-42.33167976,11
5,-102.3805823,264.8845543,156.6203632,15
3,74.14628702,386.7247607,140.5907869,13
3,-71.74480938,372.2444303,176.1084521,12
4,-244.0580533,267.2010635,229.8751128,16
5,-205.5312579,246.1828532,197.1871615,13
5,136.0942929,272.6471728,39.91628721,19
5,55.44143109,360.8617131,132.8527098,16
5,-565.2675124,192.2748306,368.0997555,16
1,-636.3639384,221.7147393,382.845018,16
3,-207.041856,406.0284569,295.8459518,19
3,58.56824064,448.7403577,167.4552911,18
5,782.9420626,332.9998355,-245.9118989,19
4,371.2808202,407.5062339,-20.07814051,14
0,32.69569302,284.5726576,101.5350706,19
5,75.2015208,207.036477,37.2017146,12
4,-80.77551842,300.708627,170.2283854,19
3,-470.1274456,294.5130493,354.7654402,18
0,-78.34684944,308.3096061,153.1731,13
0,-143.4682418,202.8546793,159.0073847,10
4,293.0654679,224.5914166,-54.01971497,17
3,-17.81921222,422.1641141,178.0909072,13
5,287.8673097,399.743819,37.46004496,19
4,-328.4063563,329.2994689,280.8096917,10
3,-28.60137617,208.296095,71.94374385,10
4,395.6192687,272.7695203,-73.12474747,18
4,-152.1866894,228.8140751,149.8504465,18
4,-164.8827282,413.8172534,259.0460978,11
4,387.6945535,386.3099702,-25.60964563,18
5,-23.23360353,409.3528372,176.4171041,12
4,-38.13666103,221.2157722,85.58529484,16
5,27.51528715,307.6901821,110.2328405,12
4,538.3939787,376.2660096,-101.2524389,16
1,222.6931185,421.5265601,80.00849949,18
1,10.03479428,457.1129452,202.5061162,10
0,-179.5044935,220.9423106,176.4149117,11
0,282.9546888,336.8183494,2.325929599,15
0,263.0560151,237.6643288,-29.55760259,17
0,-118.0466184,277.6167906,165.4586573,16
1,214.4077613,228.3445643,-27.75103918,15
5,73.2456727,391.6090816,129.6112412,14
4,25.19945661,420.1163013,177.2134121,13
1,313.0107515,345.7632104,-28.99343825,15
3,-152.9910452,414.5897564,252.5701733,16
4,371.1600329,256.0269191,-74.8234099,18
4,412.6122551,256.7549249,-102.0261639,19
4,123.4923607,330.1127155,68.80737022,10
1,-85.0817018,238.6670458,135.0172613,10
0,96.7127828,325.0786784,78.36104307,18
5,40.2007735,344.2051146,126.8385912,17
5,380.9022651,381.4209175,-16.51570604,14
0,-488.6711413,303.8227138,362.6864506,13
0,50.38478331,348.8090015,126.54259,17
3,71.45234908,333.2796628,92.80591445,16
3,73.21980612,281.7722717,77.34132589,13
1,518.615152,457.2429873,-47.05054005,16
5,40.03716324,332.8750089,121.345803,16
1,413.7776447,337.1928442,-74.72091494,16
4,-196.653712,328.7040112,218.3537763,10
0,-784.4862067,374.9185822,564.4644972,14
0,154.6901249,474.9500473,128.7848431,11
4,603.786153,315.2836427,-171.0165481,12
1,836.7882139,247.4495643,-311.366521,17
1,590.4277502,259.0041981,-189.5178974,19
4,388.1278276,364.5794175,-46.95486113,18
0,213.9466023,316.6060347,45.16627017,16
0,265.4446743,169.1412429,-87.54751052,10
5,565.2477803,375.5204546,-123.831779,17
5,-160.5000665,369.2768223,249.6007709,14
1,664.937361,322.1052393,-195.3914185,14
0,99.56848199,448.8224289,139.3351824,11
0,573.064947,458.2787036,-101.9732037,11
4,904.1764667,361.7316206,-286.4514615,15
0,439.0883924,279.0201446,-121.5688623,16
3,449.4632295,406.0654814,-41.7184909,18
3,543.2892425,320.6626609,-142.8680264,13
5,-410.4610802,369.676112,347.2759194,12
3,85.89628746,231.6741394,51.31827436,15
1,216.1182795,266.7434425,-20.53106445,10
4,-409.4466499,329.4604148,348.5500075,14
4,101.4346078,196.2503797,25.08829289,13
1,-357.0217509,320.4126022,317.0893948,10
5,388.1902297,232.2167186,-103.2184153,14
4,551.3395165,413.4130372,-71.09800894,17
4,-168.8740461,328.1744881,223.6898852,19
5,121.3093273,335.1395412,51.58445715,19
3,-282.2682799,220.748761,223.5470277,14
4,159.276589,367.5820959,65.69573817,13
1,-222.4219619,330.7494972,249.406875,10
5,331.9922468,312.9036619,-28.78064458,12
3,444.1377948,469.5884075,-17.12969431,15
3,20.79388417,336.8818103,122.199509,15
5,686.4904348,262.3369855,-245.3186666,12
5,-499.8947897,409.749115,414.8206181,10
3,-95.99277672,342.7602568,203.0920797,16
1,50.35631015,318.1504584,116.390835,10
3,273.3534374,323.4062609,5.249950833,15
3,750.4562591,415.8515243,-189.683552,10
5,89.67101661,346.3534133,88.97039419,14
3,262.8844371,375.3043952,36.57885006,14
4,795.9684729,256.6026854,-290.3756324,14
1,-431.5726255,315.1007405,348.4059556,12
5,-489.4630234,315.6895185,355.6118911,16
5,74.80633712,403.287322,126.1064885,15
3,75.79517589,471.8899183,180.8276096,10
1,326.3903388,301.7725572,-33.54091824,11
1,-66.14286152,418.2486877,218.3123021,19
0,-512.353205,209.8532121,353.8607145,19
5,-371.6228601,334.3146882,321.6401988,18
5,-100.1607631,285.3604569,160.0396739,14
5,268.3785623,329.518005,4.017764687,14
4,-195.9663476,304.950715,235.0457156,15
3,179.2755757,271.9137123,13.29708423,18
1,-404.7580322,318.7021184,333.6900494,10
4,-15.76951765,476.8897833,234.0883436,14
5,-562.1121647,229.1763435,351.5501389,14
3,250.2208987,274.7594842,-7.203322632,15
1,313.0202624,298.4498255,-45.94194524,19
3,-51.4471863,391.7191129,196.6637905,13
5,270.560712,277.4607515,-37.42096818,18
0,681.7566119,341.9134079,-189.0485303,19
3,-36.20296181,385.0853682,178.5540704,14
5,-60.58564476,328.4408425,148.3979158,10
4,486.5767922,310.0150897,-106.4947174,17
4,28.22561072,238.9210386,76.1563949,19
3,-38.00510321,325.9668323,141.3215213,12
3,74.45316439,246.7814562,59.34481697,15
3,-84.58310392,407.9733147,222.3053455,11
3,-349.8513679,342.8112576,303.6667196,16
5,418.2096348,341.9458363,-62.79215311,17
0,112.1162504,276.8004394,56.29436081,11
3,-90.18563054,441.5860068,229.9365807,15
3,302.816119,235.9754785,-36.65014784,12
4,-473.2800063,350.2489614,373.0840082,16
4,425.0034043,356.3933262,-45.55206734,19
5,-18.60423778,318.8885268,144.8755342,18
5,-295.8181125,332.3292625,280.9534136,15
3,-242.3933839,295.3515103,231.2737309,13
5,56.46948427,254.7486214,92.43789094,18
0,-274.654989,323.0941173,275.5190856,12
0,883.7090963,304.3428563,-301.7149969,18
0,20.41906017,286.6173806,116.466657,18
4,-169.7424166,246.384553,185.6166236,19
5,530.4707858,352.7135408,-117.7212588,19
3,-66.9639439,404.2042031,191.406812,12
3,-480.3698604,372.0451601,404.5394478,13
4,-15.24961688,313.8323582,129.0753918,14
4,-169.0083675,429.4100299,284.9548953,14
